study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,feature,reason,ref_value,var_value,diff,tau,ref_run_id,var_run_id
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-91357ec3a8,hay2011_soma,1,P00_canonical,first_isi,exceeds,13.789999999987458,12.92999999998824,0.8599999999992178,0.5,r-a22266676a5c9c51fe6b,r-5ff182756ed7cd3b672a
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-91357ec3a8,hay2011_soma,1,P04_step_2x,first_isi,exceeds,19.86999999998193,16.109999999985348,3.7599999999965803,0.5,r-49ced7acda977f37b12b,r-07f1415ae5ca9fcc5042
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-91357ec3a8,hay2011_soma,1,P04_step_2x,mean_frequency,exceeds,30.72574202670593,50.107229471126495,19.381487444420564,1.5362871013352966,r-49ced7acda977f37b12b,r-07f1415ae5ca9fcc5042
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-91357ec3a8,hay2011_soma,1,P05_long_step,first_isi,exceeds,189.6599999998275,179.70999999983655,9.94999999999095,3.79319999999655,r-b99907e8e6510bd22247,r-8f058171ac786ec8f550
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-91357ec3a8,hay2011_soma,1,P06_ramp,mean_frequency,exceeds,24.149971321934125,28.27112004122442,4.1211487192902965,1.2074985660967064,r-da1341cbf9665d4e7639,r-ebf71f0b7000bcf2e715
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-91357ec3a8,hay2011_soma,2,P00_canonical,first_isi,exceeds,13.769999999987476,12.909999999988258,0.8599999999992178,0.5,r-ebfd6e5f8d6b9e916dfe,r-ba18c95fc6ba2b3010b6
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-91357ec3a8,hay2011_soma,2,P04_step_2x,first_isi,exceeds,19.75999999998203,16.049999999985403,3.7099999999966258,0.5,r-1e40b84a0cfdecc32574,r-3a08dee48cde33c66869
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-91357ec3a8,hay2011_soma,2,P04_step_2x,mean_frequency,exceeds,30.800188907861397,50.2593381850934,19.459149277232,1.5362871013352966,r-1e40b84a0cfdecc32574,r-3a08dee48cde33c66869
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-91357ec3a8,hay2011_soma,2,P05_long_step,first_isi,exceeds,190.6399999998266,180.67999999983567,9.959999999990941,3.79319999999655,r-cbc91d57fa8b8448b73b,r-c31840f29d6f7f38e5a8
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-91357ec3a8,hay2011_soma,2,P06_ramp,mean_frequency,exceeds,24.166507234873194,28.28882894354265,4.122321708669457,1.2074985660967064,r-1b54cfe9f9ae3444183f,r-125b127a3a8859c704d9
